Customer_ID,Age,Gender,Persona,Job,Annual_Income,Credit_Score,Account_Balance,Spending_Score,Loan_Amount,Loan_Term_Months,Loan_Default,Customer_Feedback
CUST-279451,43,F,professional,Clinical research associate,119316.26,820,31514.82,64.18,8965.07,36,0,I commend the bank's commitment to providing excellent customer service.
CUST-160738,32,M,professional,"Social research officer, government",86244.23,693,23638.0,53.99,18447.09,24,1,The exorbitant fees associated with my commercial loan are unacceptable and require immediate review.
CUST-292401,20,F,young_adult,None,17903.26,650,104.06,67.95,3681.92,24,0,Appreciate the mobile check deposit. So convenient!
CUST-681542,51,M,professional,Health promotion specialist,67501.25,735,11488.98,43.02,35908.24,24,0,The security measures in place provide peace of mind during transactions.
CUST-266931,55,F,professional,Hydrographic surveyor,117625.97,694,35947.21,54.91,31072.81,36,0,Notifications regarding my bank account are helpful and not intrusive.
CUST-587575,21,M,young_adult,Student,14529.95,607,210.75,53.53,4039.58,12,0,This bank’s mobile app makes loans simple!
CUST-535970,38,M,professional,Private music teacher,92387.09,668,4615.59,66.9,51181.33,12,1,I experienced unexpected delays in the approval process for a small business loan.
CUST-735324,39,M,professional,Biomedical engineer,109733.67,674,16962.24,70.61,53637.77,12,0,I am happy to choose this bank to do my banking.
CUST-641722,59,M,professional,Training and development officer,87875.51,741,24605.22,60.38,51136.83,36,0,The bank's website provides inadequate information about its business banking products.
CUST-360247,24,M,young_adult,Part-time Server,19863.69,746,122.37,73.15,4588.55,36,0,"The fast cash option helped me cover an emergency expense, huge relief!"
CUST-592841,51,M,professional,Commissioning editor,141082.1,680,46135.64,55.52,19759.64,24,0,Seamless mobile banking integration is a major convenience.
CUST-389666,79,F,retiree,retired,40973.9,639,3346.43,26.98,22638.08,12,0,"The staff are always polite and attentive; it’s comforting, really."
CUST-205389,40,F,professional,Patent examiner,112541.24,686,31786.85,51.39,15633.19,60,1,I find the account management system to be overly complex and difficult to navigate effectively.
CUST-310548,64,M,retiree,retired,61889.0,690,18044.44,32.42,33155.03,60,1,"The bank's policies seem designed to benefit them, not their customers."
CUST-780776,72,M,retiree,retired,43883.89,703,12866.13,53.05,22611.64,36,0,I am really happy with the personal attention I receive from my bank.
CUST-541409,75,F,retiree,retired,28615.15,686,3104.54,24.26,13129.97,60,0,"The new password requirements keep my finances safe and secure, right?"
CUST-201255,31,M,professional,Secondary school teacher,77843.16,679,31279.62,19.36,26140.17,60,0,The online platform's efficiency has greatly streamlined our business transactions.
CUST-185544,18,M,young_adult,Intern,10111.88,523,86.64,56.18,4453.26,36,1,Why are the fees for crypto transactions so high? I'm losing money!
CUST-303322,73,M,retiree,retired,48859.68,808,3766.97,44.01,11448.04,24,0,Your team's attention to safeguarding my funds gives me assurance.
CUST-572407,58,M,professional,Magazine journalist,96040.11,711,19813.81,51.87,38288.65,24,1,My request for a higher line of credit was denied despite my excellent credit history.
CUST-665990,62,F,retiree,retired,50841.9,756,14784.37,21.92,15285.98,60,0,The online process was easy to navigate and manage.
CUST-434165,52,F,professional,Secretary/administrator,76584.1,693,46109.11,52.61,39600.98,24,1,I am satisfied with the personalized financial advice I received from my account manager.
CUST-474440,66,F,retiree,retired,25800.26,594,3305.46,15.27,12974.97,36,1,I'm worried that the bank is losing its values; it's not the same company it used to be.
CUST-776502,20,M,young_adult,None,15002.94,467,70.84,41.0,2846.78,12,0,Their quick response and resolution of app issues are impressive!
CUST-601916,29,F,professional,Medical technical officer,50365.64,780,10533.72,44.2,2454.55,36,0,The efficiency of the online application process for loans was impressive.
CUST-672079,46,F,professional,Secondary school teacher,84847.69,631,44509.61,73.06,35631.79,24,1,I am concerned about the bank's adherence to ethical and responsible business practices.
CUST-900961,41,F,professional,Horticultural consultant,129006.84,777,27188.26,32.12,55307.7,12,0,The online platform's efficiency has greatly streamlined our business transactions.
CUST-749840,33,M,professional,Operational researcher,108871.26,659,41221.1,41.6,53368.99,12,1,"Customer service is unresponsive, making it difficult to resolve pressing business account issues quickly."
CUST-384815,79,M,retiree,retired,49483.73,760,52631.69,32.37,15940.93,24,0,The team went above and beyond to answer my questions regarding my account.
CUST-107161,74,M,retiree,retired,36177.76,677,5635.5,18.68,12192.19,12,0,I was helped out a lot by the lovely staff at the bank.
CUST-133276,79,M,retiree,retired,36026.59,650,4781.75,28.19,13123.73,60,0,Thank you for going the extra mile when helping me with my issues.
CUST-803953,80,F,retiree,retired,34127.81,646,1328.96,20.54,9711.25,24,0,The quick response time to my password issues was a huge help.
CUST-980521,33,F,professional,Museum/gallery curator,91525.62,629,23767.58,40.38,47001.01,24,0,"The international wire transfer fees are exorbitant, making it expensive to conduct global business."
CUST-749887,62,F,retiree,retired,45041.27,617,10933.68,36.69,14025.11,12,1,I feel unsafe and this bank doesn't care! I've been here for so long and nothing.
CUST-715551,44,F,professional,Secretary/administrator,121680.94,774,47040.99,48.38,27203.21,24,0,I experienced significant delays in receiving a refund for an erroneous charge.
CUST-686716,40,M,professional,Cytogeneticist,82671.24,823,16128.33,46.0,37585.85,36,1,The bank's fee structure for business checking accounts is complicated and confusing.
CUST-245939,35,F,professional,Financial manager,131321.26,803,33142.44,47.79,66880.26,24,0,The responsiveness of the customer support team is truly commendable.
CUST-293411,74,F,retiree,retired,44552.29,702,13189.69,40.09,3848.71,36,1,The support agent on the phone cut the line to avoid dealing with me!
CUST-980690,77,F,retiree,retired,45792.88,641,25666.93,50.32,12345.01,36,0,The helpful assistance I got with my questions was excellent.
CUST-763121,39,M,professional,"Producer, radio",79890.57,760,23869.98,52.65,6359.33,36,0,High interest rates and benefits are a huge reason to be with the bank.
CUST-827744,41,F,professional,Geophysical data processor,136053.86,777,29080.27,28.16,11093.72,60,1,The bank's mobile deposit feature is frequently unavailable due to technical issues.
CUST-979727,48,F,professional,Consulting civil engineer,83768.31,809,41269.25,59.44,20736.26,24,0,The expertise of the banking staff was invaluable in securing my business loan.
CUST-846925,59,F,professional,"Teacher, adult education",98800.02,727,22283.36,58.09,2996.39,60,0,I am happy to choose this bank to do my banking.
CUST-789233,43,F,professional,Technical author,66787.3,632,24825.55,71.49,21696.91,24,1,I encountered numerous errors while attempting to deposit a check using the mobile deposit feature.
CUST-524035,39,F,professional,Mudlogger,55319.37,687,2370.03,44.18,16219.1,60,1,The bank's failure to protect my account from unauthorized access has resulted in significant financial losses.
CUST-761393,50,M,professional,Production manager,39366.62,657,12371.25,69.03,16986.46,36,1,My attempts to resolve a billing error have been unsuccessful despite multiple calls.
CUST-243079,46,M,professional,Speech and language therapist,28645.27,716,3800.1,59.12,6113.79,36,0,I am dissatisfied with the limited accessibility of branches and ATMs in my area.
CUST-673619,75,M,retiree,retired,41970.3,716,1646.97,33.89,4929.93,36,0,The branch staff were so understanding of my difficulty with the app.
CUST-381607,71,M,retiree,retired,33232.41,584,5504.71,25.01,8246.68,24,0,The bank staff were great at helping me reset my login credentials.
CUST-539976,18,F,young_adult,Student,9995.31,546,244.51,67.19,2816.02,24,1,"The app keeps glitching, making it impossible to manage my account."
CUST-537017,57,F,professional,"Clinical scientist, histocompatibility and immunogenetics",65764.81,731,37504.84,49.59,22117.81,24,0,"The wire transfer service experienced delays, impacting my business operations."
