Customer_ID,Age,Gender,Persona,Job,Annual_Income,Credit_Score,Account_Balance,Spending_Score,Loan_Amount,Loan_Term_Months,Loan_Default,Customer_Feedback,Age_missing,Annual_Income_missing,Credit_Score_missing,Account_Balance_missing,Spending_Score_missing,Loan_Amount_missing,Loan_Term_Months_missing,Gender_missing,Persona_missing,Job_missing,Customer_Feedback_missing,Job_norm,Annual_Income_raw,Account_Balance_raw,Loan_Amount_raw,Spending_Score_raw,Credit_Score_raw,Age_raw,Annual_Income_log1p,Account_Balance_log1p,Loan_Amount_log1p,loan_to_income,loan_to_balance,balance_to_income,monthly_loan_payment_est,income_per_age,credit_bucket,age_group,feedback_char_count,feedback_word_count,feedback_avg_word_len,feedback_pos_count,feedback_neg_count,feedback_polarity,feedback_has_question,feedback_has_exclaim,feedback_capital_words,feedback_has_url,feedback_llm_label,feedback_llm_score,Gender_F,Gender_M,Persona_professional,Persona_retiree,Persona_young_adult,credit_bucket_excellent,credit_bucket_good,credit_bucket_low,credit_bucket_medium,age_group_adult,age_group_mid,age_group_senior,age_group_young,job_norm_freq,job_norm_top_1,job_norm_top_2,job_norm_top_3,job_norm_top_4,job_norm_top_5,job_norm_top_6,job_norm_top_7,job_norm_top_other
CUST-279451,43,F,professional,Clinical research associate,119316.26,820.0,31514.82,64.18,8965.07,36,0,I commend the bank's commitment to providing excellent customer service.,0,0,0,0,0,0,0,0,0,0,0,health,119316.26,31514.82,8965.07,64.18,820,43,11.689541274905416,10.358244920964575,9.101202731956825,0.0751370349690807,0.28447155972966737,0.264128459943345,249.02972221530476,2774.7967441215164,excellent,adult,72.0,10.0,6.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,0.8,True,False,True,False,False,True,False,False,False,True,False,False,False,62,0,0,1,0,0,0,0,0
CUST-160738,32,M,professional,"Social research officer, government",86244.23,693.0,23638.0,53.99,18447.09,24,1,The exorbitant fees associated with my commercial loan are unacceptable and require immediate review.,0,0,0,0,0,0,0,0,0,0,0,research,86244.23,23638.0,18447.09,53.99,693,32,11.364950029016438,10.070653169440881,9.822716121074563,0.2138936135205774,0.7803997800151967,0.2740821038114634,768.6287499679738,2695.1321874157775,good,adult,101.0,14.0,6.285714285714286,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,negative,-0.9,False,True,True,False,False,False,True,False,False,True,False,False,False,39,0,0,0,0,1,0,0,0
CUST-292401,20,F,young_adult,Missing,17903.26,650.0,104.06,67.95,3681.92,24,0,Appreciate the mobile check deposit. So convenient!,0,0,0,0,0,0,0,0,0,1,0,missing,17903.26,104.06,3681.92,67.95,650,20,9.792793952340814,4.654531615525816,8.211461194786398,0.20565640000758492,35.38266384744011,0.0058123492592965864,153.4133333269411,895.1629999552417,medium,young,51.0,7.0,6.428571428571429,2.0,0.0,2.0,0.0,1.0,0.0,0.0,positive,0.9,True,False,False,False,True,False,False,False,True,False,False,False,True,24,0,0,0,0,0,0,1,0
CUST-681542,51,M,professional,Health promotion specialist,67501.25,735.0,11488.98,43.02,35908.24,24,0,The security measures in place provide peace of mind during transactions.,0,0,0,0,0,0,0,0,0,0,0,health,67501.25,11488.98,35908.24,43.02,735,51,11.119916209638411,9.349230630197248,10.488749922975003,0.5319640747393487,3.125450649230556,0.17020395918593847,1496.1766666043259,1323.5539215426754,good,mid,73.0,11.0,5.7272727272727275,1.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,0.7,False,True,True,False,False,False,True,False,False,False,True,False,False,62,0,0,1,0,0,0,0,0
CUST-266931,55,F,professional,Hydrographic surveyor,117625.97,694.0,35947.21,54.91,31072.81,36,0,Notifications regarding my bank account are helpful and not intrusive.,0,0,0,0,0,0,0,0,0,0,0,other_hydrographic_surveyor,117625.97,35947.21,31072.81,54.91,694,55,11.675273624887708,10.489834570532649,10.344120621196748,0.2641662381190118,0.8644011593667252,0.3056060664154327,863.1336110871353,2138.6539999611155,good,mid,70.0,10.0,6.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,0.6,True,False,True,False,False,False,True,False,False,False,True,False,False,1,0,0,0,0,0,0,0,1
CUST-587575,21,M,young_adult,Student,14529.95,607.0,210.75,53.53,4039.58,12,0,This bank’s mobile app makes loans simple!,0,0,0,0,0,0,0,0,0,0,0,other_student,14529.95,210.75,4039.58,53.53,607,21,9.584036136395362,5.355406333532164,8.304143525007255,0.27801747425144074,19.167639383064447,0.014504523415427134,336.63166663861404,691.9023809194332,medium,young,42.0,7.0,5.142857142857143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,positive,0.8,False,True,False,False,True,False,False,False,True,False,False,False,True,19,0,0,0,0,0,0,0,1
CUST-535970,38,M,professional,Private music teacher,92387.09,668.0,4615.59,66.9,51181.33,12,1,I experienced unexpected delays in the approval process for a small business loan.,0,0,0,0,0,0,0,0,0,0,0,education,92387.09,4615.59,51181.33,66.9,668,38,11.433753353218062,8.43741161631129,10.843149634273457,0.5539879002574867,11.088794715299432,0.04995925296488882,4265.110832977907,2431.239210462336,medium,adult,82.0,13.0,5.384615384615385,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,negative,-0.5,False,True,True,False,False,False,False,False,True,True,False,False,False,30,0,0,0,0,0,1,0,0
CUST-735324,39,M,professional,Biomedical engineer,109733.67,674.0,16962.24,70.61,53637.77,12,0,I am happy to choose this bank to do my banking.,0,0,0,0,0,0,0,0,0,0,0,it,109733.67,16962.24,53637.77,70.61,674,39,11.60582064008771,9.738803928836358,10.890027406483934,0.48879956352502846,3.1621867159052592,0.1545764394829759,4469.814166294182,2813.6838460817007,good,adult,48.0,11.0,3.4545454545454546,1.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,0.8,False,True,True,False,False,False,True,False,False,True,False,False,False,80,0,1,0,0,0,0,0,0
CUST-641722,59,M,professional,Training and development officer,87875.51,741.0,24605.22,60.38,51136.83,36,0,The bank's website provides inadequate information about its business banking products.,0,0,0,0,0,0,0,0,0,0,0,other_training_and_development,87875.51,24605.22,51136.83,60.38,741,59,11.38368781246462,10.110754535488866,10.842279815406762,0.581923564369634,2.0782919234210433,0.2800008785155241,1420.4674999605427,1489.4154237035693,excellent,mid,87.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negative,-0.7,False,True,True,False,False,True,False,False,False,False,True,False,False,1,0,0,0,0,0,0,0,1
CUST-360247,24,M,young_adult,Part-time Server,19863.69,746.0,122.37,73.15,4588.55,36,0,"The fast cash option helped me cover an emergency expense, huge relief!",0,0,0,0,0,0,0,0,0,0,0,service,19863.69,122.37,4588.55,73.15,746,24,9.896699062790917,4.8151879700833735,8.431537259032746,0.23100189340448674,37.4973441199845,0.006160486797769893,127.45972221868169,827.6537499655144,excellent,young,71.0,12.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,positive,0.9,False,True,False,False,True,True,False,False,False,False,False,False,True,58,0,0,0,1,0,0,0,0
